classes,x,y,w,h,img_w,img_h
9,0.3927,0.6486,0.0126,0.0300,4608,3456
9,0.3888,0.5460,0.0117,0.0294,4608,3456
9,0.3960,0.8468,0.0115,0.0277,4608,3456
9,0.3921,0.4405,0.0122,0.0334,4608,3456
9,0.3698,0.6496,0.0119,0.0330,4608,3456
9,0.3753,0.8472,0.0116,0.0282,4608,3456
9,0.3760,0.9415,0.0129,0.0239,4608,3456
9,0.3965,0.0987,0.0131,0.0382,4608,3456
9,0.3965,0.3302,0.0130,0.0369,4608,3456
9,0.3739,0.7503,0.0106,0.0311,4608,3456
9,0.3962,0.9406,0.0122,0.0262,4608,3456
9,0.3946,0.7502,0.0110,0.0307,4608,3456
9,0.4124,0.2167,0.0134,0.0382,4608,3456
2,0.4136,0.4406,0.0135,0.0343,4608,3456
0,0.3567,0.2143,0.0147,0.0392,4608,3456
0,0.3362,0.7504,0.0108,0.0325,4608,3456
2,0.4097,0.8467,0.0135,0.0282,4608,3456
2,0.3547,0.7505,0.0112,0.0324,4608,3456
2,0.4107,0.5463,0.0135,0.0302,4608,3456
0,0.3336,0.8481,0.0112,0.0272,4608,3456
5,0.3130,0.5457,0.0138,0.0321,4608,3456
3,0.3783,0.2152,0.0130,0.0384,4608,3456
2,0.4110,0.7502,0.0125,0.0298,4608,3456
0,0.3153,0.7494,0.0129,0.0304,4608,3456
0,0.3342,0.5460,0.0124,0.0314,4608,3456
2,0.4317,0.3308,0.0142,0.0371,4608,3456
0,0.3375,0.9410,0.0118,0.0291,4608,3456
2,0.4139,0.6489,0.0127,0.0317,4608,3456
0,0.3161,0.8482,0.0112,0.0287,4608,3456
2,0.4112,0.9410,0.0114,0.0243,4608,3456
0,0.3346,0.2137,0.0150,0.0373,4608,3456
2,0.3539,0.9414,0.0123,0.0292,4608,3456
0,0.3145,0.9406,0.0116,0.0299,4608,3456
0,0.3356,0.0967,0.0126,0.0383,4608,3456
1,0.4286,0.6494,0.0117,0.0326,4608,3456
0,0.3153,0.6488,0.0138,0.0400,4608,3456
1,0.4431,0.3313,0.0103,0.0413,4608,3456
0,0.3556,0.3289,0.0141,0.0365,4608,3456
2,0.4308,0.1006,0.0156,0.0405,4608,3456
0,0.4261,0.9397,0.0109,0.0294,4608,3456
5,0.3157,0.0952,0.0162,0.0401,4608,3456
3,0.3528,0.8483,0.0115,0.0295,4608,3456
0,0.4331,0.5464,0.0130,0.0310,4608,3456
2,0.3554,0.6507,0.0135,0.0381,4608,3456
0,0.3339,0.3284,0.0141,0.0360,4608,3456
3,0.3758,0.4404,0.0137,0.0347,4608,3456
0,0.3731,0.5460,0.0119,0.0299,4608,3456
1,0.4477,0.1004,0.0132,0.0422,4608,3456
5,0.3132,0.3282,0.0159,0.0342,4608,3456
3,0.3764,0.3296,0.0134,0.0368,4608,3456
1,0.4270,0.8467,0.0129,0.0258,4608,3456
0,0.3377,0.6499,0.0125,0.0357,4608,3456
3,0.3572,0.5466,0.0129,0.0320,4608,3456
1,0.4271,0.7501,0.0116,0.0301,4608,3456
1,0.4436,0.2169,0.0111,0.0398,4608,3456
5,0.3119,0.4378,0.0137,0.0385,4608,3456
1,0.4351,0.4412,0.0124,0.0360,4608,3456
5,0.3123,0.2136,0.0163,0.0363,4608,3456
2,0.4315,0.2174,0.0146,0.0397,4608,3456
2,0.3580,0.4404,0.0133,0.0375,4608,3456
0,0.3559,0.0972,0.0139,0.0383,4608,3456
0,0.3348,0.4383,0.0131,0.0382,4608,3456
8,0.4104,0.3306,0.0131,0.0351,4608,3456
3,0.3765,0.0977,0.0136,0.0382,4608,3456
