classes,x,y,w,h,img_w,img_h
9,0.5201,0.2422,0.0547,0.1109,628,628
9,0.5019,0.9072,0.0596,0.1110,628,628
9,0.5121,0.5727,0.0553,0.1094,628,628
8,0.5790,0.5720,0.0579,0.1285,628,628
2,0.3890,0.5646,0.0600,0.1296,628,628
8,0.4540,0.5723,0.0667,0.1067,628,628
8,0.5886,0.2378,0.0600,0.1124,628,628
8,0.4410,0.9017,0.0581,0.1146,628,628
2,0.6416,0.5797,0.0598,0.1280,628,628
2,0.6498,0.2446,0.0620,0.1158,628,628
8,0.4574,0.2376,0.0606,0.1133,628,628
2,0.6349,0.9129,0.0625,0.1178,628,628
0,0.3347,0.2359,0.0677,0.0868,628,628
5,0.2002,0.5662,0.0564,0.1002,628,628
1,0.6879,0.9088,0.0319,0.1099,628,628
0,0.2408,0.8971,0.0676,0.0999,628,628
0,0.3220,0.5716,0.0674,0.1103,628,628
5,0.2061,0.2236,0.0640,0.1007,628,628
2,0.3960,0.2362,0.0571,0.1132,628,628
1,0.7010,0.5840,0.0276,0.1019,628,628
5,0.1874,0.8957,0.0625,0.1005,628,628
8,0.5686,0.9058,0.0615,0.0988,628,628
0,0.2600,0.5667,0.0619,0.0973,628,628
2,0.3765,0.8982,0.0521,0.1070,628,628
1,0.7152,0.2474,0.0607,0.1134,628,628
0,0.3097,0.9002,0.0563,0.1026,628,628
