classes,x,y,w,h,img_w,img_h
9,0.4486,0.7108,0.0578,0.0751,480,640
9,0.4390,0.4803,0.0489,0.0745,480,640
9,0.4470,0.9470,0.0444,0.0665,480,640
9,0.4256,0.2485,0.0547,0.0681,480,640
9,0.4798,0.2487,0.0526,0.0742,480,640
9,0.4128,0.0284,0.0616,0.0464,480,640
8,0.3874,0.7104,0.0563,0.0711,480,640
9,0.5031,0.7094,0.0463,0.0600,480,640
8,0.4717,0.0281,0.0578,0.0494,480,640
8,0.3544,0.0291,0.0621,0.0496,480,640
2,0.5412,0.2481,0.0605,0.0629,480,640
0,0.2512,0.2505,0.0632,0.0736,480,640
0,0.2667,0.9463,0.0599,0.0671,480,640
8,0.3662,0.2485,0.0447,0.0598,480,640
0,0.2157,0.7128,0.0403,0.0596,480,640
0,0.2046,0.4799,0.0366,0.0586,480,640
5,0.1357,0.2509,0.0522,0.0703,480,640
2,0.3097,0.2489,0.0565,0.0605,480,640
0,0.1939,0.2493,0.0573,0.0617,480,640
8,0.5048,0.9456,0.0487,0.0659,480,640
0,0.2607,0.4799,0.0351,0.0551,480,640
8,0.5045,0.7102,0.0559,0.0820,480,640
5,0.1459,0.4782,0.0300,0.0545,480,640
1,0.5838,0.0277,0.0308,0.0532,480,640
2,0.5659,0.9475,0.0551,0.0770,480,640
0,0.1785,0.0246,0.0573,0.0515,480,640
0,0.2378,0.0243,0.0605,0.0514,480,640
1,0.6186,0.7071,0.0349,0.0703,480,640
2,0.5654,0.7091,0.0575,0.0773,480,640
8,0.3868,0.9465,0.0503,0.0664,480,640
5,0.1356,0.2486,0.0299,0.0547,480,640
2,0.3290,0.7097,0.0565,0.0576,480,640
2,0.3299,0.9470,0.0522,0.0822,480,640
2,0.5340,0.0309,0.0626,0.0527,480,640
1,0.6219,0.9475,0.0325,0.0760,480,640
2,0.5545,0.4790,0.0455,0.0693,480,640
8,0.4825,0.2489,0.0569,0.0822,480,640
2,0.3205,0.4792,0.0511,0.0687,480,640
0,0.2091,0.9498,0.0569,0.0667,480,640
5,0.1550,0.7128,0.0523,0.0688,480,640
5,0.1198,0.0275,0.0544,0.0571,480,640
0,0.2733,0.7126,0.0369,0.0589,480,640
1,0.5898,0.2465,0.0311,0.0618,480,640
8,0.3793,0.4798,0.0537,0.0804,480,640
5,0.1500,0.9503,0.0384,0.0643,480,640
8,0.4943,0.4793,0.0548,0.0800,480,640
1,0.6038,0.4732,0.0336,0.0777,480,640
0,0.2592,0.4812,0.0630,0.0686,480,640
